Symbol,Reason
588CG26-SG,Empty dataset
617KL27-SG,Empty dataset
66ML30A-SG,Empty dataset
66RJ30C-SG,Empty dataset
66WB30-SG,Empty dataset
651KA30C-SG,Empty dataset
664PY32-SG,Empty dataset
662KA32A-SG,Empty dataset
665TR35-SG,Empty dataset
665AP36-SG,Empty dataset
665TS40-SG,Empty dataset
665AP40-SG,Empty dataset
665PN50A-SG,Empty dataset
532AS26-SG,Empty dataset
582RJ27-SG,Empty dataset
645GJ30A-SG,Empty dataset
658GA31-SG,Empty dataset
663MN31-SG,Empty dataset
659RJ31-SG,Empty dataset
66UP31-SG,Empty dataset
66UK31-SG,Empty dataset
666JH34-SG,Empty dataset
664JK36-SG,Empty dataset
664AP39-SG,Empty dataset
665AP41-SG,Empty dataset
664TS51-SG,Empty dataset
572BR26-SG,Empty dataset
597CG27-SG,Empty dataset
664SK31-SG,Empty dataset
657TN31-SG,Empty dataset
661UP31-SG,Empty dataset
661RJ31-SG,Empty dataset
664MZ32-SG,Empty dataset
663WB41-SG,Empty dataset
663AP37-SG,Empty dataset
663PN51-SG,Empty dataset
582BR26-SG,Empty dataset
662UP31-SG,Empty dataset
662GA31-SG,Empty dataset
663ML31-SG,Empty dataset
661KA33-SG,Empty dataset
661WB36-SG,Empty dataset
66KA37-SG,Empty dataset
661MP37-SG,Empty dataset
662TS41-SG,Empty dataset
61CG27-SG,Empty dataset
657GJ31-SG,Empty dataset
661RJ31A-SG,Empty dataset
661TS51-SG,Empty dataset
662HR41-SG,Empty dataset
662RJ41-SG,Empty dataset
663HP31-SG,Empty dataset
663WB31-SG,Empty dataset
663HP33-SG,Empty dataset
664UP31-SG,Empty dataset
689BR28-SG,Empty dataset
645RJ27-SG,Empty dataset
699JK31-SG,Empty dataset
685GA31-SG,Empty dataset
688MN31-SG,Empty dataset
685RJ31-SG,Empty dataset
688UP31-SG,Empty dataset
69AP32-SG,Empty dataset
689AP35-SG,Empty dataset
688RJ46-SG,Empty dataset
689WB41-SG,Empty dataset
686TS41-SG,Empty dataset
687AP37-SG,Empty dataset
685TN51-SG,Empty dataset
619AS26-SG,Empty dataset
609RJ26-SG,Empty dataset
698AS31-SG,Empty dataset
705PN31-SG,Empty dataset
694UP31-SG,Empty dataset
704MZ33-SG,Empty dataset
698HR41-SG,Empty dataset
696RJ41-SG,Empty dataset
697WB36-SG,Empty dataset
697RJ51-SG,Empty dataset
621AS26-SG,Empty dataset
70TS51-SG,Empty dataset
693GJ31-SG,Empty dataset
705HP35-SG,Empty dataset
702HP36-SG,Empty dataset
703MP31-SG,Empty dataset
705NL31-SG,Empty dataset
705RJ31-SG,Empty dataset
699RJ41-SG,Empty dataset
697RJ51A-SG,Empty dataset
708UP31-SG,Empty dataset
705WB31-SG,Empty dataset
707AS31-SG,Empty dataset
63PY26-SG,Empty dataset
67AS27-SG,Empty dataset
708CG29-SG,Empty dataset
707GJ31-SG,Empty dataset
708MH31-SG,Empty dataset
719SK31-SG,Empty dataset
72GA31-SG,Empty dataset
72UP31-SG,Empty dataset
724AS31-SG,Empty dataset
72JH35-SG,Empty dataset
734TR36-SG,Empty dataset
722AP37-SG,Empty dataset
722KA38-SG,Empty dataset
735KA39-SG,Empty dataset
735KA40-SG,Empty dataset
718HR41-SG,Empty dataset
722RJ41-SG,Empty dataset
723WB41-SG,Empty dataset
702KL28-SG,Empty dataset
702HR29-SG,Empty dataset
704MH29-SG,Empty dataset
715RJ31-SG,Empty dataset
717AS31-SG,Empty dataset
717ML31-SG,Empty dataset
719UP31-SG,Empty dataset
723PN31-SG,Empty dataset
724RJ36-SG,Empty dataset
724JK36-SG,Empty dataset
729KA37-SG,Empty dataset
722KA38A-SG,Empty dataset
725TS41-SG,Empty dataset
72RJ46-SG,Empty dataset
729KA39-SG,Empty dataset
725WB41-SG,Empty dataset
72TS51-SG,Empty dataset
702PN28-SG,Empty dataset
702MH29-SG,Empty dataset
708GJ31-SG,Empty dataset
713RJ31-SG,Empty dataset
717UP31-SG,Empty dataset
718MN31-SG,Empty dataset
718SK31-SG,Empty dataset
727MZ33-SG,Empty dataset
728JH36-SG,Empty dataset
729TR36-SG,Empty dataset
724KA37-SG,Empty dataset
724KA38-SG,Empty dataset
643AS26-SG,Empty dataset
699KA28-SG,Empty dataset
706CG29-SG,Empty dataset
714HR31-SG,Empty dataset
715RJ31A-SG,Empty dataset
716GA31-SG,Empty dataset
716ML31-SG,Empty dataset
716UP31-SG,Empty dataset
719WB36-SG,Empty dataset
719KA39-SG,Empty dataset
719KA40-SG,Empty dataset
672KL27-SG,Empty dataset
694CG29-SG,Empty dataset
685GA31A-SG,Empty dataset
693SK31-SG,Empty dataset
686JH36-SG,Empty dataset
684UK31-SG,Empty dataset
685AR31-SG,Empty dataset
683WB31-SG,Empty dataset
684GJ31-SG,Empty dataset
685AS31-SG,Empty dataset
685ML31-SG,Empty dataset
686PN33-SG,Empty dataset
686PY34-SG,Empty dataset
618GJ26-SG,Empty dataset
658GJ27-SG,Empty dataset
69GJ30-SG,Empty dataset
68UK31-SG,Empty dataset
68KL31-SG,Empty dataset
684JK31-SG,Empty dataset
684GA31-SG,Empty dataset
682KL32-SG,Empty dataset
698PY33-SG,Empty dataset
682JH34-SG,Empty dataset
682KL35-SG,Empty dataset
682PN36-SG,Empty dataset
699WB36-SG,Empty dataset
675RJ31-SG,Empty dataset
678AP38-SG,Empty dataset
678AP39-SG,Empty dataset
682ML31-SG,Empty dataset
678RJ31-SG,Empty dataset
678JK33-SG,Empty dataset
684AR31-SG,Empty dataset
682RJ31-SG,Empty dataset
685NL31-SG,Empty dataset
689TS51-SG,Empty dataset
678MN31-SG,Empty dataset
677TN31-SG,Empty dataset
678RJ31A-SG,Empty dataset
682MH32-SG,Empty dataset
687MH33-SG,Empty dataset
692HR36-SG,Empty dataset
69AP39-SG,Empty dataset
691AP40-SG,Empty dataset
696TS51-SG,Empty dataset
69JK33-SG,Empty dataset
745IGT26-NC,Empty dataset
77IGT28-NE,Empty dataset
749IGT28-NG,Empty dataset
795IGT31-NI,Empty dataset
772IGT31-NK,Empty dataset
677RJ31-SG,Empty dataset
694AP37-SG,Empty dataset
694AP38-SG,Empty dataset
613RJ26-SG,Empty dataset
679HR31-SG,Empty dataset
683WB31A-SG,Empty dataset
684MH32-SG,Empty dataset
688MH33-SG,Empty dataset
69MZ33-SG,Empty dataset
683MH32-SG,Empty dataset
684HR32-SG,Empty dataset
687MH33A-SG,Empty dataset
696AP35-SG,Empty dataset
696AP36-SG,Empty dataset
698TS41-SG,Empty dataset
696TN51-SG,Empty dataset
696TN56-SG,Empty dataset
61RJ26-SG,Empty dataset
676RJ31-SG,Empty dataset
678SK31-SG,Empty dataset
697TN46-SG,Empty dataset
639BR27-SG,Empty dataset
678KL31-SG,Empty dataset
684KL33-SG,Empty dataset
678MH31-SG,Empty dataset
683MH32A-SG,Empty dataset
704AP40-SG,Empty dataset
704AP41-SG,Empty dataset
645BR27-SG,Empty dataset
695HR33-SG,Empty dataset
704JK36-SG,Empty dataset
696KL34-SG,Empty dataset
681MH31-SG,Empty dataset
686MH32-SG,Empty dataset
685NL31A-SG,Empty dataset
684RJ31-SG,Empty dataset
705RJ41-SG,Empty dataset
703TN46-SG,Empty dataset
703TN51-SG,Empty dataset
705TS41-SG,Empty dataset
665WB28-SG,Empty dataset
672GJ30-SG,Empty dataset
68RJ31-SG,Empty dataset
681PN31-SG,Empty dataset
70AP38-SG,Empty dataset
701AP39-SG,Empty dataset
707RJ46-SG,Empty dataset
704TS51-SG,Empty dataset
GS261025C-GS,Empty dataset
GS101125C-GS,Empty dataset
GS071225C-GS,Empty dataset
GS121225C-GS,Empty dataset
BDR-IT,Empty dataset
GS151225C-GS,Empty dataset
GS171225C-GS,Empty dataset
GS231225C-GS,Empty dataset
GS311225C-GS,Empty dataset
GS020126C-GS,Empty dataset
GS100226C-GS,Empty dataset
GS220226C-GS,Empty dataset
GS090326C-GS,Empty dataset
GS150326C-GS,Empty dataset
GS200326C-GS,Empty dataset
GS100426C-GS,Empty dataset
GS260426C-GS,Empty dataset
GS100526C-GS,Empty dataset
GS070626C-GS,Empty dataset
GS120626C-GS,Empty dataset
GS150626C-GS,Empty dataset
GS220261P-GS,Empty dataset
GS151226C-GS,Empty dataset
GS220230C-GS,Empty dataset
GS220830C-GS,Empty dataset
GS220231C-GS,Empty dataset
GS220831C-GS,Empty dataset
GS220236C-GS,Empty dataset
GS220836C-GS,Empty dataset
GS220240C-GS,Empty dataset
GS220840C-GS,Empty dataset
GS220250C-GS,Empty dataset
GS220850C-GS,Empty dataset
GS220261C-GS,Empty dataset
703TS51-SG,Empty dataset
605RJ26-SG,Empty dataset
684RJ31A-SG,Empty dataset
675GJ31-SG,Empty dataset
678GA31-SG,Empty dataset
68MH31-SG,Empty dataset
683MH32B-SG,Empty dataset
681KL31-SG,Empty dataset
692HR36A-SG,Empty dataset
709KL36-SG,Empty dataset
683MH31-SG,Empty dataset
683TN31-SG,Empty dataset
688UP31A-SG,Empty dataset
689MH32-SG,Empty dataset
69RJ32-SG,Empty dataset
713AP36-SG,Empty dataset
704RJ36-SG,Empty dataset
707HR37-SG,Empty dataset
712AP37-SG,Empty dataset
706KL38-SG,Empty dataset
706TS41-SG,Empty dataset
706KL41-SG,Empty dataset
624RJ26-SG,Empty dataset
691RJ31-SG,Empty dataset
713RJ41-SG,Empty dataset
679WB28-SG,Empty dataset
696GA31-SG,Empty dataset
695MH32-SG,Empty dataset
70MN31-SG,Empty dataset
695PN31-SG,Empty dataset
694UP31A-SG,Empty dataset
694UK31-SG,Empty dataset
688GJ31-SG,Empty dataset
71JK33-SG,Empty dataset
719ML41-SG,Empty dataset
713KL46-SG,Empty dataset
72KL56-SG,Empty dataset
718TS51-SG,Empty dataset
931SFIL26A-NA,Empty dataset
97SFIL26A-NC,Empty dataset
675BR27-SG,Empty dataset
633AS26-SG,Empty dataset
682CG28-SG,Empty dataset
683WB28-SG,Empty dataset
691GJ30-SG,Empty dataset
699GA31-SG,Empty dataset
701MH32-SG,Empty dataset
715AP37-SG,Empty dataset
719AP38-SG,Empty dataset
629RJ26-SG,Empty dataset
682BR28-SG,Empty dataset
699GA31A-SG,Empty dataset
695GJ31-SG,Empty dataset
70MP31-SG,Empty dataset
70RJ31-SG,Empty dataset
698TN31-SG,Empty dataset
699UP31-SG,Empty dataset
702WB31-SG,Empty dataset
70UK31-SG,Empty dataset
712AP35-SG,Empty dataset
714AP36-SG,Empty dataset
724TS51-SG,Empty dataset
627RJ26-SG,Empty dataset
697TN31-SG,Empty dataset
701MN31-SG,Empty dataset
701UP31-SG,Empty dataset
717TS41-SG,Empty dataset
724TN51-SG,Empty dataset
85PCHFL26-N7,Empty dataset
875PCHFL31-N9,Empty dataset
699WB30-SG,Empty dataset
697TN31A-SG,Empty dataset
699UP31A-SG,Empty dataset
625AS26-SG,Empty dataset
677BR28-SG,Empty dataset
698HR31-SG,Empty dataset
698TN31A-SG,Empty dataset
70WB31-SG,Empty dataset
71MH36-SG,Empty dataset
714AP41-SG,Empty dataset
714TS41-SG,Empty dataset
624MH26-SG,Empty dataset
699GA31B-SG,Empty dataset
698GJ31-SG,Empty dataset
702UP31-SG,Empty dataset
70TN31-SG,Empty dataset
71JK33A-SG,Empty dataset
709TS34-SG,Empty dataset
679WB28A-SG,Empty dataset
643MH27-SG,Empty dataset
692HR30-SG,Empty dataset
697AS31-SG,Empty dataset
697TN31B-SG,Empty dataset
697NL31-SG,Empty dataset
697PN31-SG,Empty dataset
697UP31-SG,Empty dataset
638MH27-SG,Empty dataset
698AS31A-SG,Empty dataset
697GA31-SG,Empty dataset
699WB31-SG,Empty dataset
695TN31B-SG,Empty dataset
698UP31-SG,Empty dataset
697KL31-SG,Empty dataset
719KL51-SG,Empty dataset
628GJ27-SG,Empty dataset
599MP26-SG,Empty dataset
705TS35-SG,Empty dataset
705AP35-SG,Empty dataset
687HR31-SG,Empty dataset
693HP31-SG,Empty dataset
698HP32-SG,Empty dataset
704KL34-SG,Empty dataset
691RJ31A-SG,Empty dataset
712WB51-SG,Empty dataset
708JK36-SG,Empty dataset
706KL39-SG,Empty dataset
685BR30-SG,Empty dataset
688GA31-SG,Empty dataset
684GJ31A-SG,Empty dataset
70MZ34-SG,Empty dataset
689PN31-SG,Empty dataset
687RJ31-SG,Empty dataset
689UP31-SG,Empty dataset
685WB31-SG,Empty dataset
70AP39A-SG,Empty dataset
70TS36-SG,Empty dataset
702AP41-SG,Empty dataset
702ML41-SG,Empty dataset
698AP36-SG,Empty dataset
687AS31-SG,Empty dataset
653CG28-SG,Empty dataset
685GA31B-SG,Empty dataset
687JH31-SG,Empty dataset
685MP31-SG,Empty dataset
691MH33-SG,Empty dataset
691MH34-SG,Empty dataset
687MN31-SG,Empty dataset
687UP31-SG,Empty dataset
698WB36-SG,Empty dataset
686AP35-SG,Empty dataset
686KL35-SG,Empty dataset
686RJ36-SG,Empty dataset
687AP40-SG,Empty dataset
676TN31-SG,Empty dataset
677RJ31A-SG,Empty dataset
68NL31-SG,Empty dataset
68SK31-SG,Empty dataset
925SCL26-NR,Empty dataset
935SCL28-NV,Empty dataset
623RJ27-SG,Empty dataset
596PY26-SG,Empty dataset
685AS31A-SG,Empty dataset
683GA31-SG,Empty dataset
684PN31-SG,Empty dataset
698PN33-SG,Empty dataset
694RJ33-SG,Empty dataset
684UP31-SG,Empty dataset
693AP38-SG,Empty dataset
698JK36-SG,Empty dataset
699KL36-SG,Empty dataset
699TR36-SG,Empty dataset
699WB36A-SG,Empty dataset
693TS37-SG,Empty dataset
694AP41-SG,Empty dataset
704AP34-SG,Empty dataset
709AP39-SG,Empty dataset
691AS31-SG,Empty dataset
687BR30-SG,Empty dataset
659CG28-SG,Empty dataset
689GA31A-SG,Empty dataset
689GJ31-SG,Empty dataset
70JH33-SG,Empty dataset
688KA31-SG,Empty dataset
693KA32-SG,Empty dataset
705KL36-SG,Empty dataset
706MZ34-SG,Empty dataset
601RJ26-SG,Empty dataset
691RJ31B-SG,Empty dataset
69TN31-SG,Empty dataset
709TS40-SG,Empty dataset
692UP31-SG,Empty dataset
705WB36-SG,Empty dataset
675GJ29-SG,Empty dataset
696KA31-SG,Empty dataset
697TN31C-SG,Empty dataset
697UP31A-SG,Empty dataset
698RJ31-SG,Empty dataset
70MN31A-SG,Empty dataset
70NL31-SG,Empty dataset
703KA32-SG,Empty dataset
713AP36A-SG,Empty dataset
714AP41A-SG,Empty dataset
604GJ26-SG,Empty dataset
695KA31-SG,Empty dataset
699HR31-SG,Empty dataset
708KA34A-SG,Empty dataset
609AS26-SG,Empty dataset
634RJ27-SG,Empty dataset
662CG28-SG,Empty dataset
663HR28-SG,Empty dataset
695BR30-SG,Empty dataset
693GJ31A-SG,Empty dataset
696RJ31-SG,Empty dataset
699AS31-SG,Empty dataset
699UP31B-SG,Empty dataset
702AP36-SG,Empty dataset
702AP37-SG,Empty dataset
708WB41-SG,Empty dataset
698BR30-SG,Empty dataset
703MN31-SG,Empty dataset
698RJ31A-SG,Empty dataset
696TN31-SG,Empty dataset
70WB31A-SG,Empty dataset
70GA31-SG,Empty dataset
706JK33-SG,Empty dataset
708AP35-SG,Empty dataset
708AP40-SG,Empty dataset
708TS42-SG,Empty dataset
694AS31-SG,Empty dataset
692RJ31-SG,Empty dataset
693UP31-SG,Empty dataset
70AP38A-SG,Empty dataset
70AP39B-SG,Empty dataset
671TN29-SG,Empty dataset
69KA31-SG,Empty dataset
693UP31A-SG,Empty dataset
698WB37-SG,Empty dataset
699MP41-SG,Empty dataset
699TS43-SG,Empty dataset
687BR30A-SG,Empty dataset
686HP30-SG,Empty dataset
691HP31-SG,Empty dataset
693HP32-SG,Empty dataset
692HP33-SG,Empty dataset
687KA31-SG,Empty dataset
662PY28-SG,Empty dataset
691WB31-SG,Empty dataset
833GS2032-GS,Empty dataset
683GS2039-GS,Empty dataset
607RJ26-SG,Empty dataset
683KA31-SG,Empty dataset
684RJ31B-SG,Empty dataset
687SK31-SG,Empty dataset
692AP41-SG,Empty dataset
692TN46-SG,Empty dataset
604AS26-SG,Empty dataset
687AS31A-SG,Empty dataset
683BR30-SG,Empty dataset
694JK36-SG,Empty dataset
683KA31A-SG,Empty dataset
688KA32-SG,Empty dataset
666TN29-SG,Empty dataset
696TS45-SG,Empty dataset
923GS2043-GS,Empty dataset
773GS2034-GS,Empty dataset
684BR30-SG,Empty dataset
63PY27-SG,Empty dataset
685GA31C-SG,Empty dataset
683KA31B-SG,Empty dataset
689KA33-SG,Empty dataset
694WB36-SG,Empty dataset
668GS2031-GS,Empty dataset
697AS31A-SG,Empty dataset
698GA31-SG,Empty dataset
696KA31A-SG,Empty dataset
702KA33-SG,Empty dataset
70JK33-SG,Empty dataset
696UP31-SG,Empty dataset
704TS32-SG,Empty dataset
70NL31A-SG,Empty dataset
707TN38-SG,Empty dataset
705WB36A-SG,Empty dataset
633AS26A-SG,Empty dataset
629RJ26A-SG,Empty dataset
696PY30-SG,Empty dataset
703AS31-SG,Empty dataset
70GA31A-SG,Empty dataset
703HP31-SG,Empty dataset
702KA31-SG,Empty dataset
70MN31B-SG,Empty dataset
703RJ31-SG,Empty dataset
702TN31-SG,Empty dataset
704UP31-SG,Empty dataset
705UK31-SG,Empty dataset
714HP33-SG,Empty dataset
714TS33-SG,Empty dataset
712KA34-SG,Empty dataset
714AP35-SG,Empty dataset
714KL35-SG,Empty dataset
714JK36-SG,Empty dataset
714PN36-SG,Empty dataset
712WB36-SG,Empty dataset
714AP40-SG,Empty dataset
714AP41B-SG,Empty dataset
718TS33-SG,Empty dataset
712AS32-SG,Empty dataset
713HR32-SG,Empty dataset
71KA32-SG,Empty dataset
718KA33-SG,Empty dataset
722KA35-SG,Empty dataset
714PN32-SG,Empty dataset
712UP32-SG,Empty dataset
714WB32-SG,Empty dataset
724AP38-SG,Empty dataset
718AP40-SG,Empty dataset
722AP42-SG,Empty dataset
875SCFL27-Y9,Empty dataset
843SCFL27-YB,Empty dataset
704TN30-SG,Empty dataset
714KA32-SG,Empty dataset
728TS35-SG,Empty dataset
731KA35-SG,Empty dataset
714RJ32-SG,Empty dataset
715UP32-SG,Empty dataset
731PY35-SG,Empty dataset
729KA34-SG,Empty dataset
723MN32-SG,Empty dataset
724UP32-SG,Empty dataset
723WB32-SG,Empty dataset
733KA37-SG,Empty dataset
733KA40-SG,Empty dataset
733MP42-SG,Empty dataset
643RJ27-SG,Empty dataset
724BR32-SG,Empty dataset
723GA32-SG,Empty dataset
735KA36-SG,Empty dataset
734TS34-SG,Empty dataset
618GJ26A-SG,Empty dataset
69PY28-SG,Empty dataset
645RJ27A-SG,Empty dataset
727AR32-SG,Empty dataset
729MZ33-SG,Empty dataset
724RJ32-SG,Empty dataset
727SK32-SG,Empty dataset
724TN32-SG,Empty dataset
728UP32-SG,Empty dataset
725UK32-SG,Empty dataset
737KA38-SG,Empty dataset
736KA39-SG,Empty dataset
748WB37-SG,Empty dataset
732KA34-SG,Empty dataset
62RJ26-SG,Empty dataset
696HR29-SG,Empty dataset
721KA32-SG,Empty dataset
721RJ32-SG,Empty dataset
744KA35-SG,Empty dataset
737TS36-SG,Empty dataset
737AP38-SG,Empty dataset
737AP42-SG,Empty dataset
654MH27-SG,Empty dataset
699MH29-SG,Empty dataset
705MZ29-SG,Empty dataset
704TN30A-SG,Empty dataset
724RJ32A-SG,Empty dataset
730KA32-SG,Empty dataset
732AS32-SG,Empty dataset
734MN32-SG,Empty dataset
685AS29-SG,Empty dataset
709AS32-SG,Empty dataset
706GJ32-SG,Empty dataset
716KA36-SG,Empty dataset
709RJ32-SG,Empty dataset
713JK34-SG,Empty dataset
713AP40-SG,Empty dataset
713AP41-SG,Empty dataset
712KA37-SG,Empty dataset
712PN37-SG,Empty dataset
713TN47-SG,Empty dataset
702TN30-SG,Empty dataset
709GJ32-SG,Empty dataset
71TN32-SG,Empty dataset
712AS32A-SG,Empty dataset
713BR32-SG,Empty dataset
713TS37-SG,Empty dataset
713KA38-SG,Empty dataset
713KA39-SG,Empty dataset
648RJ27-SG,Empty dataset
703TN30-SG,Empty dataset
712GJ32-SG,Empty dataset
714TN32-SG,Empty dataset
715GA32-SG,Empty dataset
717BR32-SG,Empty dataset
717KL32-SG,Empty dataset
717RJ32-SG,Empty dataset
717WB32-SG,Empty dataset
713TS34-SG,Empty dataset
712JK37-SG,Empty dataset
713AP39-SG,Empty dataset
713HR42-SG,Empty dataset
719TN42-SG,Empty dataset
708MP29-SG,Empty dataset
712TN30-SG,Empty dataset
725GJ32-SG,Empty dataset
725TN32-SG,Empty dataset
735PY33-SG,Empty dataset
725MZ34-SG,Empty dataset
728JH37-SG,Empty dataset
748AP38-SG,Empty dataset
743HR41-SG,Empty dataset
731AP42-SG,Empty dataset
733TN52A-SG,Empty dataset
733TN57-SG,Empty dataset
709TN30-SG,Empty dataset
719TN32-SG,Empty dataset
722RJ32-SG,Empty dataset
724SK32-SG,Empty dataset
734TS35-SG,Empty dataset
739JK37-SG,Empty dataset
735JH38-SG,Empty dataset
746WB40-SG,Empty dataset
741PN42-SG,Empty dataset
739TN52-SG,Empty dataset
709HR29-SG,Empty dataset
713TN30-SG,Empty dataset
723TN32-SG,Empty dataset
724RJ32B-SG,Empty dataset
726HR32-SG,Empty dataset
727ML32-SG,Empty dataset
737RJ34-SG,Empty dataset
742KL34-SG,Empty dataset
